id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
155640558,6466895438042,"Nồi Luộc Gà Inox 3 Đáy Sunhouse SH28LG thân làm từ chất liệu inox cao cấp dễ dàng vệ sinh.Sử dụng trên mọi loại bếp.Đáy 3 lớp siêu bền, giúp giữ nhiệt lâu, nấu chín đều, chống cháy khét.Vung kính...",389000,660000,,271000,41,7,,available,,1000.0,1000.0,,41048,Sunhouse
579962,1221996228592,"Bộ nồi 5 đáy cao cấp núm vàng Sunhouse SH781 bao gồm 3 nồi với kích thước lần lượt 16cm, 20cm và 24cm đáp ứng tốt nhu cầu sử dụng. Thân nồi được thiết kế thân phẳng, kiểu dáng châu Âu sang trọng.Với ...",539000,960000,,421000,44,587,,available,,1000.0,1000.0,,41048,Sunhouse
28445641,9698715255641,"Hộp cơm điện Lock&Lock EJR216 lý tưởng để nấu cơm, hấp trứng, rau, thịt và giữ ấm thức ăn.Hộp cơm có ba tầng. Bạn có thể bảo quản cơm, thịt, súp riêng biệt để đáp ứng nhu cầu bữa ăn của bạn.Nếu...",664000,1493000,,829000,56,1708,,available,,1000.0,1000.0,,48077,LocknLock
134621577,2529885112893,Bộ Dao 7 Món Lock&Lock CKK301 - Đen có thể chế biến được nhiều món ăn khác nhau nhờ nhiều kích thước dao.Lưỡi làm bằng thép sắc bén giúp chế biến món ăn nhanh chóng.Lưỡi dao không bị gỉ sét có đ...,1231000,2657000,,1426000,54,272,,available,,1000.0,1000.0,,48077,LocknLock
580040,1228374919714,"Chảo Đá Chống Dính Siêu Bền Sunhouse SBD24 24cm với chất liệu hợp kim nhôm dày 3mm phủ lớp chống chính an toàn và siêu bền, không dễ bong tróc lớp chống dính trên bề mặt như những loại chảo khác và đặ...",201000,320000,,119000,37,50,,available,,1000.0,1000.0,,41048,Sunhouse
25421013,6064688338125,"Bộ Nồi Inox 3 Đáy Sunhouse SH335 chất liệu inox sáng bóng, bền đẹp, sử dụng được trên mọi loại bếp.Quai núm bằng inox, đinh tán chắc chắn, an toàn khi sử dụng.Đáy nồi cấu tạo 3 lớp, truyền nhi...",395000,620000,,225000,36,141,,available,,1000.0,1000.0,,41048,Sunhouse
2039747,8122174564682,"Bộ Nồi Inox 3 Đáy Sunhouse SH334 bao gồm 3 nồi với kích thước lần lượt 16cm, 20cm và 24cm đáp ứng tốt nhu cầu sử dụng. Thân nồi được thiết kế thân phẳng, kiểu dáng châu Âu sang trọng.Với chất...",489000,690000,,201000,29,93,,available,,1000.0,1000.0,,41048,Sunhouse
129143705,1375481910388,"       NỒI HẤP INOX 3 TẦNG 28CM   ĐIỂM NỔI BẬT   - Bộ nồi hấp đa năng gồm:01 nồi đáy, 01 giá hấp, 02 miếng lót khi hấp, 1 nắp.   - Dùng được cho mọi loại bếp: bếp từ, bếp ga, bếp hồng ngoại   ...",99000,99000,,0,0,0,,available,,1000.0,1000.0,,111461,OEM
32178097,2080349748762,"Chảo Kim Cương Đáy Từ Nagakawa NAG2653 Lòng chảo: Sâu lòngCán chảo: Nhựa Bakelit chịu nhiệtĐáy từ: CóSản phẩm được thiết kế từ nhôm cao cấp an toànĐáy từ độ bền cao, bắt từ đềuChống dính đa lớp ...",333000,585000,,252000,43,804,,available,,1000.0,1000.0,,110935,Nagakawa
578967,1222109028719,"Chảo Đá Chống Dính Siêu Bền Sunhouse SBD28 28cm với chất liệu hợp kim nhôm dày 3mm phủ lớp chống chính an toàn và siêu bền, không dễ bong tróc lớp chống dính trên bề mặt như những loại chảo khác và đặ...",256000,430000,,174000,40,1184,,available,,1000.0,1000.0,,41048,Sunhouse
25421013,6064688338125,"Bộ Nồi Inox 3 Đáy Sunhouse SH335 chất liệu inox sáng bóng, bền đẹp, sử dụng được trên mọi loại bếp.Quai núm bằng inox, đinh tán chắc chắn, an toàn khi sử dụng.Đáy nồi cấu tạo 3 lớp, truyền nhi...",395000,620000,,225000,36,141,,available,,1000.0,1000.0,,41048,Sunhouse
1024190,4116222211578,"Bộ 3 Hộp Cơm Giữ Nhiệt Lock&Lock Mushroom LHC8025SLV - Bạc dùng để đựng thực phẩm, thích hợp để sử dụng hằng ngày.Bộ sản phẩm gồm: Hộp cơm 460ml, 2 hộp thức ăn 420ml và 280ml, 1 túi giữ nhiệt, 1...",447000,1007000,,560000,56,1284,,available,,1000.0,1000.0,,48077,LocknLock
271539474,6251816046979,"- Chất liệu: Thân: Thép không gỉ 304 / Nắp: Nhựa PP, TPE / Gioăng, đệm: silicone - Dễ dàng mở nắp chống trượt: Nắp được phủ nhựa TPE chống trượt giúp dễ dàng mở nắp cho dù kích thước rộng. - Miệng h...",662000,1490000,,828000,56,6,,available,,1000.0,1000.0,,48077,LocknLock
73125530,4485355058795,"Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml thiết kế vách ngăn giúp thực phẩm không bị trộn lẫn khi bỏ vào chung một hộp.Borosilicate là thủy tinh chịu nhiệt (lên tới 120 độ C), an toàn...",164000,362000,,198000,55,1295,,available,,1000.0,1000.0,,48077,LocknLock
